Measure,Metric,Metric_Weight,Metric_Description,Extraction_Rule,Evaluation_Rule,Extraction_Rule_value,Score
Currentness,Date Of Revision,5,Date of revision declared in the Metadata,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': ""//gmd:identificationInfo[1]//gmd:citation//gmd:CI_Date[gmd:dateType/gmd:CI_DateTypeCode/@codeListValue='revision']/gmd:date/gco:Date"", 'value': 'text'}","{'type': 'date', 'minimum': '2022-01-01', 'maximum': '2023-01-01', 'description': 'Date of last revision should be included in user requested period'}",2022-10-10,3.0
Maintenance Frequency,MatchMaintenanceFreqRequested,9,Checks that the requested maintenance frequency by the user matches the declared maintenance frequency,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:MD_Metadata //gmd:identificationInfo//gmd:MD_DataIdentification//gmd:resourceMaintenance//gmd:MD_MaintenanceInformation//gmd:maintenanceAndUpdateFrequency//gmd:MD_MaintenanceFrequencyCode/@codeListValue', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 'continual', 'operator': 'is', 'description': 'Should return true if matches user request of maintenance requency. Should be implemented when requests on dahsboard can be personnalized.'}",continual,5.0
MeanValuePosUncertainties,MeanValuePosUncertainties,5,Mean value of positionnal uncertainty of the dataset,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:PositionalAccuracy//gmd:AbsolutePositionalAccuracy//gmd:MeanValuePositionalUncertainties', 'value': 'text'}","{'type': 'range', 'minimum': 0, 'maximum': 0.8, 'description': 'Mean value of positionnal uncertainty should be between 0m and 0.8m (user request)'}",0.02,5.0
Relative Vertical Error,Relative Vertical Error,5,"A comparison of the data (measured) and the control (true). Calculation method of the Relative LE (Rel LE90): see ISO19157-3, Table D.59","{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:PositionalAccuracy//gmd:RelativePositionalAccuracy//gmd:RelativeVerticalError', 'value': 'text'}","{'type': 'range', 'minimum': 0, 'maximum': 0.9, 'description': 'The vertical relative error should be between x and x (user request)'}",0.05,5.0
Relative Horizontal Error,RelativeHorizontalError,5,"A comparison of the data (measured) and the control (true). Calculation method of the Relative LE (Rel CE90): see ISO19157-3, Table D.60","{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:PositionalAccuracy//gmd:RelativePositionalAccuracy//gmd:RelativeHorizontalError', 'value': 'text'}","{'type': 'range', 'minimum': 0, 'maximum': 0.9, 'description': 'The horizontal relative error should be between x and x (user request)'}",0.001,5.0
Circular Standard Deviation,Circular Standard Deviation,5,"Radius describing a circle, in which the true point location lies with the probability of a normal distribution at 39,4 % (see ISO19157-3, Table D.49)","{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:PositionalAccuracy//gmd:GriddedPositionalAccuracy//gmd:CircularSD', 'value': 'text'}","{'type': 'range', 'minimum': 0, 'maximum': 0.9, 'description': 'The circular standard deviation should be between x and x (user request)'}",0.03,5.0
RMS Error Planimetry,RMS Error Planimetry,5,"Radius of a circle around the given point, in which the true value lies with probability P [ISO 19157-3:2021].s","{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:PositionalAccuracy//gmd:GriddedPositionalAccuracy//gmd:RMSEPlanimetry', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 20, 'operator': '<', 'description': 'The circular standard deviation should be under 20m (user request)'}",21,4.0
Equivalent Scale,Equivalent Scale,5,Level of detail expressed as the scale denominator of a comparable hardcopy map or chart. Each spatialResoultion element must contain either an equivalent scale or a distance but not both,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:identificationInfo[1]//gmd:spatialResolution//gmd:equivalentScale//gmd:denominator', 'value': 'text'}","{'type': 'range', 'minimum': 490, 'maximum': 510, 'description': 'Map scale should be between 1/4900 and 1/5100 (user request).'}",500,5.0
Distance,Distance,5,Ground sample distance. Each 'spatialResoultion' element must contain either an equivalent scale or a distance but not both,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:identificationInfo[1]//gmd:spatialResolution//gmd:distance', 'value': 'text'}","{'type': 'range', 'minimum': 15, 'maximum': 20, 'description': 'Distance should be between 15-20m (user request).'}",25.0,1.0
Technical Interoperability,Metadata Discoverability,5,Metadata Discoverability,"{'type': 'formula', 'source': 'interopability-map', 'column': 'metadata_discoverability', 'rule': 'serviceId', 'value': 'text'}",{'type': 'none'},3,5.0
Technical Interoperability,Data Accessibility,5,Data Accessibility,"{'type': 'formula', 'source': 'interopability-map', 'column': 'data_accessibility', 'rule': 'serviceId', 'value': 'text'}",{'type': 'none'},2,3.3333333333333335
Legal And Organizational Interoperability,National Data accessibility and integration arrangements,5,National Data accessibility and integration arrangements,"{'type': 'formula', 'source': 'interopability-map', 'column': 'National_data_accessibility_and_integration_arrangements', 'rule': 'serviceId', 'value': 'text'}",{'type': 'none'},0,0.0
Semantic Interoperability,Quality Assessment,5,Quality assessment (QA),"{'type': 'formula', 'source': 'interopability-map', 'column': 'Quality_assessment_(QA)', 'rule': 'serviceId', 'value': 'text'}",{'type': 'none'},1,1.6666666666666667
Semantic Interoperability,Data Content And Quality,5,Data Content And Quality,"{'type': 'formula', 'source': 'interopability-map', 'column': 'Data_content_and_data_quality', 'rule': 'serviceId', 'value': 'text'}",{'type': 'none'},2,3.3333333333333335
Semantic Interoperability,Vocabulary And Data Quality,5,Vocabulary_And_Data_Quality,"{'type': 'formula', 'source': 'interopability-map', 'column': 'Vocabulary_and_data_specifications', 'rule': 'serviceId', 'value': 'text'}",{'type': 'none'},2,3.3333333333333335
Access Restrictions,Public Access Restrictions,5,"Access constraints applied to assure the protection of privacy or intellectual property, and any special restrictions or limitations on obtaining the resource.","{'type': 'xpath', 'source': 'service-metadata', 'rule': '//gmd:identificationInfo//gmd:resourceConstraints//gmd:accessConstraints', 'value': 'text'}","{'type': 'restrictionCode', 'description': 'Assesses the accessibility based on restrictions and limitations on the resource.'}",,0.0
Access Restrictions,Other Public Access Restrictions (other constraints),5,Other restrictions and legal prerequisites for accessing and using the resource or metadata.,"{'type': 'xpath', 'source': 'service-metadata', 'rule': '//gmd:identificationInfo//gmd:resourceConstraints//gmd:otherConstraints', 'value': 'text'}","{'type': 'restrictionCode', 'description': 'Assesses the accessibility based on restrictions and limitations on the resource.'}",Norge digitalt begrenset Creative Commons BY 4.0 (CC BY 4.0),2.5
Access Restrictions,Conditions applying to access and use,5,Restrictions on the access and use of a resource or metadata.,"{'type': 'xpath', 'source': 'service-metadata', 'rule': '//gmd:identificationInfo//gmd:useLimitation', 'value': 'text'}","{'type': 'restrictionCode', 'description': 'Assesses the accessibility based on restrictions and limitations on the resource.'}",Ingen begrensninger på bruk er oppgitt. No conditions apply,2.5
Point of Contact,Contact's name,5,Checks whether contact's name is filled.,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:contact//gmd:individualName', 'value': 'text'}","{'type': 'presence', 'description': ""Checks presence of contact's name.""}",Nils Ivar Nes,5.0
Point of Contact,Contact's email,5,Checks whether contact's email address is filled.,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:contact//gmd:contactInfo//gmd:electronicMailAddress', 'value': 'text'}","{'type': 'presence', 'description': ""Checks presence of contact's email address.""}",kundesenter@kartverket.no,5.0
Point of Contact,Organisation name,5,Checks whether organisation is filled.,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:contact//gmd:organisationName', 'value': 'text'}","{'type': 'presence', 'description': 'Checks presence of organisation name.'}",Kartverket Norwegian Mapping Authority,5.0
Metadata Standard Name,Metadata Standard Name,5,Metadata Standard Name is present.,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:metadataStandardName', 'value': 'text'}","{'type': 'presence', 'description': 'Checks presence of Metadata standard name.'}",ISO19115,5.0
Metadata Standard Version,Metadata Standard Version,5,Metadata Standard Version is present.,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:metadataStandardVersion', 'value': 'text'}","{'type': 'presence', 'description': 'Checks presence of Metadata standard version.'}",2003,5.0
Lineage Statment,Lineage Statment,5,Describes whether the data has a lineage statment.,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:lineage//gmd:statement', 'value': 'text'}","{'type': 'presence', 'description': 'Checks that lineage statement is present.'}",FKB-data er hovedsaklig basert på fotogrammetrisk datafangst. I tillegg blir det gjort administrativt ajourhold i Geovekst-samarbeidet for å holde dataene kontinuerlig oppdatert.FKB-dataene har varierende dekning/detaljeringsgrad i ulike områder.,5.0
Coordinate Reference System,West Bound Longitude,5,Parameter must be set,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:identificationInfo//gmd:extent//gmd:geographicElement//gmd:westBoundLongitude', 'value': 'text'}","{'type': 'presence', 'description': 'Checks that the property is set.'}",4.56,5.0
Coordinate Reference System,East Bound Longitude,5,Parameter must be set,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:identificationInfo//gmd:extent//gmd:geographicElement//gmd:eastBoundLongitude', 'value': 'text'}","{'type': 'presence', 'description': 'Checks that the property is set.'}",33.67,5.0
Coordinate Reference System,South Bound Latitude,5,Parameter must be set,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:identificationInfo//gmd:extent//gmd:geographicElement//gmd:southBoundLatitude', 'value': 'text'}","{'type': 'presence', 'description': 'Checks that the property is set.'}",57.47,5.0
Coordinate Reference System,North Bound Latitude,5,Parameter must be set,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '///gmd:identificationInfo//gmd:extent//gmd:geographicElement//gmd:northBoundLatitude', 'value': 'text'}","{'type': 'presence', 'description': 'Checks that the property is set.'}",70.85,5.0
Format,Format name,5,Describes the file format of the distribution.,"{'type': 'xpath', 'source': 'service-metadata', 'rule': '//gmd:distributionFormat//gmd:MD_Format//gmd:name', 'value': 'text'}","{'type': 'presence', 'description': 'Checks that the property is set.'}",GML,5.0
Format,Format version,5,Describes the file format of the distribution.,"{'type': 'xpath', 'source': 'service-metadata', 'rule': '//gmd:distributionFormat//gmd:MD_Format//gmd:version', 'value': 'text'}","{'type': 'presence', 'description': 'Checks that the property is set.'}",3.2.1,5.0
Encoding,Character Encoding,5,The character encoding used in the data set.,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:locale//gmd:characterEncoding//gmd:MD_CharacterSetCode/@codeListValue', 'value': 'text'}","{'type': 'presence', 'description': 'Checks that the property is set.'}",utf8,5.0
Spatial representation type,Spatial representation type,5,Describes the spatial representation type.,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:spatialRepresentationType//gmd:MD_SpatialRepresentationTypeCode/@codeListValue', 'value': 'text'}","{'type': 'presence', 'description': 'Checks that the property is set.'}",vector,5.0
