Measure,Metric,Metric_Weight,Metric_Description,Extraction_Rule,Evaluation_Rule,Extraction_Rule_value,Score
RMS Error Planimetry,RMS Error Planimetry,5,"Radius of a circle around the given point, in which the true value lies with probability P [ISO 19157-3:2021].s","{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:PositionalAccuracy//gmd:GriddedPositionalAccuracy//gmd:RMSEPlanimetry', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 20, 'operator': '<', 'description': 'The circular standard deviation should be under 20m (user request)'}",21,4
Equivalent Scale,Equivalent Scale,5,Level of detail expressed as the scale denominator of a comparable hardcopy map or chart. Each spatialResoultion element must contain either an equivalent scale or a distance but not both,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:identificationInfo[1]//gmd:spatialResolution//gmd:equivalentScale//gmd:denominator', 'value': 'text'}","{'type': 'range', 'minimum': 490, 'maximum': 510, 'description': 'Map scale should be between 1/4900 and 1/5100 (user request).'}",500,5
Distance,Distance,5,Ground sample distance. Each 'spatialResoultion' element must contain either an equivalent scale or a distance but not both,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:identificationInfo[1]//gmd:spatialResolution//gmd:distance', 'value': 'text'}","{'type': 'range', 'minimum': 15, 'maximum': 20, 'description': 'Distance should be between 15-20m (user request).'}",25.0,1
License Information,License Information,5,License Information is present.,"{'type': 'xpath', 'source': 'service-metadata', 'rule': '//ows:AccessConstraints', 'value': 'text'}","{'type': 'presence', 'description': 'Map scale should be between 1/4900 and 1/5100 (user request).'}",None,5
Access Restrictions,Access Restrictions,5,Checks whether the access to the data is public or restricted.,"{'type': 'xpath', 'source': 'service-metadata', 'rule': '//ows:AccessConstraints', 'value': 'text'}","{'type': 'presence', 'description': 'Checks that access constraints are filled.'}",None,5
Point of Contact,Contact's name,5,Checks whether contact's name is filled.,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:contact//gmd:individualName', 'value': 'text'}","{'type': 'presence', 'description': ""Checks presence of contact's name.""}",Nils Ivar Nes,5
Point of Contact,Contact's email,5,Checks whether contact's email address is filled.,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:contact//gmd:contactInfo//gmd:electronicMailAddress', 'value': 'text'}","{'type': 'presence', 'description': ""Checks presence of contact's email address.""}",kundesenter@kartverket.no,5
Point of Contact,Organisation name,5,Checks whether organisation is filled.,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:contact//gmd:organisationName', 'value': 'text'}","{'type': 'presence', 'description': 'Checks presence of organisation name.'}",Kartverket Norwegian Mapping Authority,5
Metadata Standard Name,Metadata Standard Name,5,Metadata Standard Name is present.,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:metadataStandardName', 'value': 'text'}","{'type': 'presence', 'description': 'Checks presence of Metadata standard name.'}",ISO19115,5
Metadata Standard Version,Metadata Standard Version,5,Metadata Standard Version is present.,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:metadataStandardVersion', 'value': 'text'}","{'type': 'presence', 'description': 'Checks presence of Metadata standard version.'}",2003,5
Lineage Statment,Lineage Statment,5,Describes whether the data has a lineage statment.,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:lineage//gmd:statement', 'value': 'text'}","{'type': 'presence', 'description': 'Checks that lineage statement is present.'}","FKB-data er hovedsaklig basert på fotogrammetrisk datafangst. I tillegg blir det gjort administrativt ajourhold i Geovekst-samarbeidet for å holde dataene kontinuerlig oppdatert.

FKB-dataene har varierende dekning/detaljeringsgrad i ulike områder.",5
Format,Format,5,Describes the file format of the distribution.,"{'type': 'xpath', 'source': 'service-metadata', 'rule': '//FeatureTypeList//FeatureType//OutputFormats//Format', 'value': 'text'}","{'type': 'presence', 'description': 'Checks that the property is set.'}",,0
Media type,Media type,5,Describes the file media type of the distribution.,"{'type': 'xpath', 'source': 'service-metadata', 'rule': '//ows:ExtendedCapabilities//inspire_dls:ExtendedCapabilities//inspire_common:MediaType', 'value': 'text'}","{'type': 'presence', 'description': 'Checks that the property is set.'}",application/vnd.iso.19139+xml,5
